market,symbol,status,baseAsset,quoteAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,tickSize,minQty,maxQty,stepSize,minNotional
um-futures-cross,BTCUSDT,TRADING,BTC,USDT,2,3,8,8,0.10,0.001,1000,0.001,5.0
um-futures-cross,ETHUSDT,TRADING,ETH,USDT,2,3,8,8,0.01,0.001,10000,0.001,5.0
um-futures-cross,BCHUSDT,TRADING,BCH,USDT,2,3,8,8,0.01,0.001,10000,0.001,5.0
um-futures-cross,XRPUSDT,TRADING,XRP,USDT,4,1,8,8,0.0001,0.1,20000000,0.1,5.0
um-futures-cross,EOSUSDT,TRADING,EOS,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,LTCUSDT,TRADING,LTC,USDT,2,3,8,8,0.01,0.001,10000,0.001,5.0
um-futures-cross,TRXUSDT,TRADING,TRX,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,ETCUSDT,TRADING,ETC,USDT,3,2,8,8,0.001,0.01,100000,0.01,5.0
um-futures-cross,LINKUSDT,TRADING,LINK,USDT,3,2,8,8,0.001,0.01,200000,0.01,5.0
um-futures-cross,XLMUSDT,TRADING,XLM,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,ADAUSDT,TRADING,ADA,USDT,5,0,8,8,0.00010,1,2000000,1,5.0
um-futures-cross,XMRUSDT,TRADING,XMR,USDT,2,3,8,8,0.01,0.001,10000,0.001,5.0
um-futures-cross,DASHUSDT,TRADING,DASH,USDT,2,3,8,8,0.01,0.001,10000,0.001,5.0
um-futures-cross,ZECUSDT,TRADING,ZEC,USDT,2,3,8,8,0.01,0.001,10000,0.001,5.0
um-futures-cross,XTZUSDT,TRADING,XTZ,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,BNBUSDT,TRADING,BNB,USDT,3,2,8,8,0.010,0.01,100000,0.01,5.0
um-futures-cross,ATOMUSDT,TRADING,ATOM,USDT,3,2,8,8,0.001,0.01,100000,0.01,5.0
um-futures-cross,ONTUSDT,TRADING,ONT,USDT,4,1,8,8,0.0001,0.1,1000000,0.1,5.0
um-futures-cross,IOTAUSDT,TRADING,IOTA,USDT,4,1,8,8,0.0001,0.1,1000000,0.1,5.0
um-futures-cross,BATUSDT,TRADING,BAT,USDT,4,1,8,8,0.0001,0.1,1000000,0.1,5.0
um-futures-cross,VETUSDT,TRADING,VET,USDT,6,0,8,8,0.000010,1,10000000,1,5.0
um-futures-cross,NEOUSDT,TRADING,NEO,USDT,3,2,8,8,0.001,0.01,100000,0.01,5.0
um-futures-cross,QTUMUSDT,TRADING,QTUM,USDT,3,1,8,8,0.001,0.1,500000,0.1,5.0
um-futures-cross,IOSTUSDT,TRADING,IOST,USDT,6,0,8,8,0.000001,1,10000000,1,5.0
um-futures-cross,THETAUSDT,TRADING,THETA,USDT,4,1,8,8,0.0001,0.1,1000000,0.1,5.0
