symbol,tf,market,open_time,open,high,low,close,vol,close_time,qa_vol,trades
BTCUSDT,1m,um-futures-cross,2023-05-31 21:16:00,27087.5,27087.6,27086.9,27086.9,22.371,2023-05-31 21:16:59.999000,605971.0868,459
BTCUSDT,1m,um-futures-cross,2023-05-31 21:17:00,27087.0,27087.0,27086.6,27086.6,24.087,2023-05-31 21:17:59.999000,652436.9482,502
BTCUSDT,1m,um-futures-cross,2023-05-31 21:18:00,27086.6,27086.7,27085.8,27085.8,37.827,2023-05-31 21:18:59.999000,1024593.7728,554
BTCUSDT,1m,um-futures-cross,2023-05-31 21:19:00,27085.8,27085.9,27084.1,27084.1,35.412,2023-05-31 21:19:59.999000,959120.9563,596
BTCUSDT,1m,um-futures-cross,2023-05-31 21:20:00,27084.1,27084.2,27079.6,27079.6,56.35,2023-05-31 21:20:59.999000,1526109.2488,923
BTCUSDT,1m,um-futures-cross,2023-05-31 21:21:00,27079.6,27084.6,27079.6,27084.5,81.53,2023-05-31 21:21:59.999000,2208001.39,724
BTCUSDT,1m,um-futures-cross,2023-05-31 21:22:00,27084.5,27084.6,27084.3,27084.3,25.286,2023-05-31 21:22:59.999000,684856.5222,388
BTCUSDT,1m,um-futures-cross,2023-05-31 21:23:00,27084.3,27084.4,27084.3,27084.3,30.107,2023-05-31 21:23:59.999000,815427.9467,387
BTCUSDT,1m,um-futures-cross,2023-05-31 21:24:00,27084.3,27084.4,27082.5,27082.5,38.057,2023-05-31 21:24:59.999000,1030732.877,419
BTCUSDT,1m,um-futures-cross,2023-05-31 21:25:00,27082.5,27082.5,27064.2,27064.2,209.591,2023-05-31 21:25:59.999000,5674094.4309,1714
BTCUSDT,1m,um-futures-cross,2023-05-31 21:26:00,27064.3,27064.3,27055.0,27055.1,215.002,2023-05-31 21:26:59.999000,5817843.0938,1934
BTCUSDT,1m,um-futures-cross,2023-05-31 21:27:00,27055.0,27055.1,27036.9,27037.7,294.762,2023-05-31 21:27:59.999000,7971809.0303,2362
BTCUSDT,1m,um-futures-cross,2023-05-31 21:28:00,27037.7,27053.9,27035.2,27038.1,367.108,2023-05-31 21:28:59.999000,9927534.6891,2727
BTCUSDT,1m,um-futures-cross,2023-05-31 21:29:00,27038.0,27049.7,27030.3,27049.7,271.575,2023-05-31 21:29:59.999000,7342657.187,2540
BTCUSDT,1m,um-futures-cross,2023-05-31 21:30:00,27049.7,27055.0,27049.6,27055.0,65.407,2023-05-31 21:30:59.999000,1769465.3055,1255
BTCUSDT,1m,um-futures-cross,2023-05-31 21:31:00,27055.0,27058.4,27054.4,27054.4,100.707,2023-05-31 21:31:59.999000,2724856.7013,1203
BTCUSDT,1m,um-futures-cross,2023-05-31 21:32:00,27054.5,27056.9,27054.4,27056.8,45.751,2023-05-31 21:32:59.999000,1237823.9831,754
BTCUSDT,1m,um-futures-cross,2023-05-31 21:33:00,27056.8,27056.8,27054.5,27054.5,33.78,2023-05-31 21:33:59.999000,913913.608,541
BTCUSDT,1m,um-futures-cross,2023-05-31 21:34:00,27054.5,27054.7,27050.0,27050.0,55.654,2023-05-31 21:34:59.999000,1505594.8674,922
BTCUSDT,1m,um-futures-cross,2023-05-31 21:35:00,27050.0,27050.1,27038.4,27038.5,88.403,2023-05-31 21:35:59.999000,2390711.585,1485
BTCUSDT,1m,um-futures-cross,2023-05-31 21:36:00,27038.5,27040.0,27038.4,27040.0,40.646,2023-05-31 21:36:59.999000,1099055.811,607
BTCUSDT,1m,um-futures-cross,2023-05-31 21:37:00,27040.0,27056.6,27039.9,27056.6,38.284,2023-05-31 21:37:59.999000,1035459.7176,1327
BTCUSDT,1m,um-futures-cross,2023-05-31 21:38:00,27056.6,27073.9,27056.6,27073.9,139.438,2023-05-31 21:38:59.999000,3773940.5605,1751
BTCUSDT,1m,um-futures-cross,2023-05-31 21:39:00,27073.9,27077.3,27066.9,27077.3,135.405,2023-05-31 21:39:59.999000,3665633.7695,1397
BTCUSDT,1m,um-futures-cross,2023-05-31 21:40:00,27077.2,27078.7,27055.6,27055.6,146.209,2023-05-31 21:40:59.999000,3958041.8948,1549
BTCUSDT,1m,um-futures-cross,2023-05-31 21:41:00,27055.7,27059.8,27055.6,27059.8,36.804,2023-05-31 21:41:59.999000,995856.7524,777
BTCUSDT,1m,um-futures-cross,2023-05-31 21:42:00,27059.8,27060.0,27055.1,27055.2,69.266,2023-05-31 21:42:59.999000,1874197.9692,854
BTCUSDT,1m,um-futures-cross,2023-05-31 21:43:00,27055.2,27055.2,27047.5,27050.6,47.171,2023-05-31 21:43:59.999000,1275976.0629,957
BTCUSDT,1m,um-futures-cross,2023-05-31 21:44:00,27050.6,27061.2,27049.9,27061.2,69.041,2023-05-31 21:44:59.999000,1867780.2972,977
BTCUSDT,1m,um-futures-cross,2023-05-31 21:45:00,27061.2,27067.8,27061.1,27067.8,44.274,2023-05-31 21:45:59.999000,1198253.4139,923
BTCUSDT,1m,um-futures-cross,2023-05-31 21:46:00,27067.8,27071.5,27067.7,27071.5,21.867,2023-05-31 21:46:59.999000,591916.1876,744
BTCUSDT,1m,um-futures-cross,2023-05-31 21:47:00,27071.5,27071.5,27071.4,27071.5,23.015,2023-05-31 21:47:59.999000,623049.7038,424
BTCUSDT,1m,um-futures-cross,2023-05-31 21:48:00,27071.5,27071.5,27061.6,27061.7,36.041,2023-05-31 21:48:59.999000,975588.5548,857
BTCUSDT,1m,um-futures-cross,2023-05-31 21:49:00,27061.7,27061.7,27061.6,27061.7,29.488,2023-05-31 21:49:59.999000,797993.6948,598
BTCUSDT,1m,um-futures-cross,2023-05-31 21:50:00,27061.7,27075.2,27061.6,27075.1,73.055,2023-05-31 21:50:59.999000,1977455.0948,1218
BTCUSDT,1m,um-futures-cross,2023-05-31 21:51:00,27075.2,27080.2,27075.1,27078.5,77.545,2023-05-31 21:51:59.999000,2099794.4008,957
BTCUSDT,1m,um-futures-cross,2023-05-31 21:52:00,27078.4,27078.5,27078.4,27078.5,42.119,2023-05-31 21:52:59.999000,1140517.2095,535
BTCUSDT,1m,um-futures-cross,2023-05-31 21:53:00,27078.5,27078.5,27073.3,27073.4,36.106,2023-05-31 21:53:59.999000,977590.828,715
BTCUSDT,1m,um-futures-cross,2023-05-31 21:54:00,27073.3,27073.4,27073.0,27073.1,29.018,2023-05-31 21:54:59.999000,785609.5629,533
BTCUSDT,1m,um-futures-cross,2023-05-31 21:55:00,27073.0,27073.1,27064.1,27064.2,58.787,2023-05-31 21:55:59.999000,1591386.3705,991
BTCUSDT,1m,um-futures-cross,2023-05-31 21:56:00,27064.2,27064.2,27062.9,27063.0,41.715,2023-05-31 21:56:59.999000,1128961.1897,578
BTCUSDT,1m,um-futures-cross,2023-05-31 21:57:00,27062.9,27063.0,27062.4,27062.5,54.685,2023-05-31 21:57:59.999000,1479930.8455,613
BTCUSDT,1m,um-futures-cross,2023-05-31 21:58:00,27062.4,27062.5,27062.2,27062.3,27.968,2023-05-31 21:58:59.999000,756879.2735,400
BTCUSDT,1m,um-futures-cross,2023-05-31 21:59:00,27062.3,27081.9,27062.2,27081.9,142.678,2023-05-31 21:59:59.999000,3862548.4353,1683
BTCUSDT,1m,um-futures-cross,2023-05-31 22:00:00,27081.9,27090.6,27076.6,27090.6,164.322,2023-05-31 22:00:59.999000,4450626.2709,2000
BTCUSDT,1m,um-futures-cross,2023-05-31 22:01:00,27090.6,27105.5,27090.5,27105.4,201.523,2023-05-31 22:01:59.999000,5460593.7442,1963
BTCUSDT,1m,um-futures-cross,2023-05-31 22:02:00,27105.5,27105.5,27080.3,27083.3,206.568,2023-05-31 22:02:59.999000,5596293.3563,2116
BTCUSDT,1m,um-futures-cross,2023-05-31 22:03:00,27083.2,27085.4,27068.9,27073.6,166.328,2023-05-31 22:03:59.999000,4503317.7574,2008
